,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
517,Otto Porter Jr.,Gol,F,28.83,60,21.8,45.5,15.2,7.7,59,0.814,189,0.577,207,0.372,0.567,0.589,8.3,5.7,14.1,1.5,10.1,1.07,0.45,0.58,7.6,123.3,102.3
518,Bobby Portis,Mil,F,27.14,67,28.4,59.2,21.1,9.4,112,0.75,486,0.525,317,0.397,0.553,0.57,14.5,9.1,16.9,1.2,6.4,0.75,0.76,1.31,7.6,115.1,102.9
519,Kristaps Porzingis,Dal,F-C,26.66,34,29.5,61.4,28.6,8.3,170,0.865,335,0.537,173,0.283,0.499,0.561,19.2,7.7,14.4,2.0,11.8,0.74,1.74,1.56,9.0,113.5,101.0
520,Kristaps Porzingis,Was,F-C,26.66,13,28.0,58.3,31.6,8.9,97,0.866,134,0.545,59,0.305,0.518,0.603,21.8,8.3,16.3,3.1,18.8,0.69,1.62,1.77,11.8,121.8,102.7
521,Micah Potter,Det,F,23.99,3,10.3,21.5,17.9,7.8,2,1.0,9,0.556,2,0.0,0.455,0.505,4.0,3.0,15.8,0.0,0.0,0.33,0.33,0.33,0.0,109.1,102.6
522,Dwight Powell,Dal,F-C,30.7,77,21.6,45.0,13.7,10.8,185,0.784,334,0.695,37,0.351,0.678,0.716,8.4,4.8,12.3,1.2,8.3,0.45,0.45,0.71,6.7,144.5,99.4
523,Myles Powell,Phi,G,20.0,11,4.7,9.9,18.1,14.4,2,1.0,11,0.364,6,0.167,0.324,0.364,1.2,0.5,6.4,0.3,8.1,0.09,0.0,0.27,4.8,74.1,99.2
524,Norman Powell,Por,G,28.85,40,33.3,69.4,22.4,9.0,198,0.803,313,0.492,229,0.406,0.542,0.593,18.7,3.3,5.4,2.1,9.9,1.0,0.43,1.55,6.1,115.0,114.4
525,Norman Powell,Lac,G,28.85,3,26.8,55.8,30.6,9.0,20,0.85,28,0.5,14,0.429,0.548,0.62,21.0,3.0,5.9,4.0,26.1,0.67,0.67,1.67,9.4,124.2,105.9
526,Joshua Primo,San,G,19.27,44,18.3,38.1,15.1,16.0,44,0.75,108,0.454,115,0.296,0.448,0.481,5.3,2.3,6.5,1.4,9.9,0.41,0.48,1.05,5.6,95.6,109.9
527,Taurean Prince,Min,F,28.03,65,16.9,35.1,17.2,11.1,72,0.764,151,0.556,217,0.378,0.563,0.587,7.2,2.6,8.1,0.9,7.8,0.69,0.35,0.77,6.1,111.3,105.6
528,Payton Pritchard,Bos,G,24.17,66,13.9,29.0,18.3,10.0,19,1.0,118,0.449,217,0.406,0.552,0.566,5.9,1.8,7.1,1.9,20.5,0.32,0.08,0.58,7.8,118.0,105.7
529,Trevelin Queen,Hou,G,20.0,10,7.4,15.5,23.8,16.8,4,1.0,9,0.667,24,0.375,0.591,0.619,4.3,1.6,11.8,0.4,8.8,0.5,0.1,0.7,7.6,109.7,109.8
530,Neemias Queta,Sac,C,22.72,11,6.5,13.5,18.6,12.9,7,0.571,24,0.417,0,0.0,0.417,0.443,2.2,1.8,15.2,0.4,8.0,0.09,0.36,0.36,7.2,103.5,103.7
531,Immanuel Quickley,Nyk,G,22.79,73,22.4,46.6,21.6,11.2,183,0.896,282,0.447,354,0.345,0.486,0.546,10.7,2.9,6.9,3.2,22.5,0.64,0.04,1.23,8.3,113.5,104.6
532,Jahmi'us Ramsey,Sac,G,20.81,19,7.1,14.7,22.1,7.2,14,0.5,40,0.475,18,0.278,0.457,0.468,3.2,0.7,5.2,0.4,7.9,0.05,0.05,0.26,5.4,95.0,113.9
533,Julius Randle,Nyk,F-C,27.34,72,35.3,73.6,28.7,14.7,401,0.756,856,0.458,390,0.308,0.459,0.509,20.1,10.0,15.0,5.1,25.1,0.74,0.54,3.4,11.4,102.8,103.4
534,Austin Reaves,Lal,G,23.84,57,22.5,47.0,11.8,10.0,86,0.837,127,0.638,151,0.305,0.54,0.589,6.5,2.9,6.9,1.6,9.2,0.42,0.33,0.61,5.5,120.7,112.2
535,Cam Reddish,Atl,F-G,22.58,34,23.4,48.8,23.2,10.4,80,0.9,190,0.421,153,0.379,0.487,0.537,11.9,2.5,5.8,1.1,6.9,1.03,0.32,1.29,5.5,103.6,112.7
536,Cam Reddish,Nyk,F-G,22.58,15,14.4,29.9,18.7,14.1,32,0.906,34,0.559,31,0.258,0.477,0.575,6.1,1.4,5.2,0.7,7.1,0.87,0.27,0.87,5.0,109.3,106.5
537,Davon Reed,Den,G,26.81,43,13.4,28.0,12.0,7.6,10,0.8,62,0.581,79,0.418,0.606,0.616,4.2,2.3,9.4,1.0,10.3,0.47,0.16,0.28,6.4,124.5,104.5
538,Paul Reed,Phi,F,22.8,34,7.4,15.5,15.2,9.4,10,0.4,66,0.5,7,0.286,0.493,0.491,2.2,2.1,15.8,0.4,7.7,0.68,0.38,0.24,6.6,114.7,91.8
539,Naz Reid,Min,C-F,22.6,72,15.8,32.9,21.3,12.7,145,0.766,293,0.57,150,0.347,0.553,0.593,8.3,4.0,13.3,0.9,9.0,0.53,0.94,1.03,7.9,115.3,100.1
540,Nick Richards,Cha,C,24.34,47,7.6,15.8,15.0,17.5,43,0.698,85,0.671,0,0.0,0.671,0.693,3.1,1.7,12.1,0.3,5.1,0.19,0.43,0.47,6.1,123.7,102.5
541,Josh Richardson,Bos,G,28.54,44,24.7,51.5,16.8,9.4,71,0.859,187,0.481,156,0.397,0.534,0.57,9.7,2.8,6.2,1.5,8.8,0.77,0.52,0.89,5.6,113.4,103.7
542,Josh Richardson,San,G,28.54,15,24.5,51.0,18.7,11.6,26,0.962,73,0.384,60,0.45,0.515,0.561,10.8,3.0,6.4,2.5,13.5,1.0,0.33,1.27,7.1,112.3,110.2
543,Austin Rivers,Den,G,29.66,62,22.0,45.8,12.8,12.9,40,0.725,110,0.555,218,0.349,0.534,0.548,6.1,1.7,4.3,1.4,8.3,0.77,0.1,0.82,4.4,104.4,108.2
544,Duncan Robinson,Mia,F,27.94,74,26.2,54.6,17.8,7.6,58,0.845,101,0.564,590,0.369,0.556,0.57,11.0,2.6,5.7,1.6,9.3,0.51,0.19,0.8,5.5,112.0,103.3
545,Jeremiah Robinson-Earl,Okc,F,21.41,46,22.7,47.3,14.8,10.0,46,0.717,147,0.476,155,0.335,0.49,0.51,7.2,5.8,13.0,1.0,6.7,0.63,0.33,0.78,6.1,106.6,107.2
546,Justin Robinson,Mil,G,24.47,17,11.6,24.2,14.9,16.0,2,1.0,20,0.4,37,0.27,0.404,0.415,2.8,0.8,3.5,1.2,13.8,0.47,0.0,0.65,4.8,87.4,106.8
547,Justin Robinson,Sac,G,24.47,3,5.0,10.4,25.7,11.1,0,0.0,5,0.2,3,0.0,0.125,0.125,0.7,0.3,3.6,0.7,17.2,0.0,0.0,0.33,4.2,37.7,108.1
548,Justin Robinson,Det,G,24.47,5,18.2,37.9,16.8,14.0,6,0.333,7,0.143,21,0.381,0.464,0.457,5.6,1.4,4.2,1.8,14.3,0.2,0.2,1.0,5.3,92.4,111.9
549,Mitchell Robinson,Nyk,C-F,24.0,70,25.6,53.3,11.4,12.4,175,0.486,333,0.76,0,0.0,0.76,0.721,8.4,8.7,18.0,0.5,3.3,0.76,1.79,0.83,5.2,144.3,101.3
550,Isaiah Roby,Okc,F,24.16,39,20.1,41.8,18.3,10.6,92,0.696,184,0.554,72,0.431,0.58,0.609,9.3,4.7,11.9,1.4,11.3,0.77,0.69,0.9,7.8,121.9,102.4
551,Rajon Rondo,Lal,G,36.1,18,16.1,33.5,15.8,32.1,2,0.5,41,0.366,30,0.267,0.38,0.383,3.1,2.7,9.0,3.7,29.9,0.67,0.28,1.89,7.8,84.2,107.5
552,Rajon Rondo,Cle,G,36.1,17,20.4,42.4,17.2,21.6,24,0.75,46,0.478,49,0.367,0.516,0.549,6.8,3.0,8.1,4.6,32.4,0.82,0.06,1.71,8.9,109.7,104.6
553,Derrick Rose,Nyk,G,33.49,26,24.5,51.0,22.5,11.9,31,0.968,182,0.467,92,0.402,0.513,0.541,12.0,3.0,6.5,4.0,27.5,0.85,0.46,1.5,8.6,112.5,113.0
554,Terrence Ross,Orl,G-F,31.15,62,23.0,47.8,20.5,11.1,125,0.864,287,0.491,257,0.296,0.469,0.516,10.0,2.5,5.8,1.8,12.5,0.45,0.19,1.21,6.2,100.1,113.1
555,Terry Rozier,Cha,G,28.04,68,33.9,70.7,23.2,7.3,167,0.85,535,0.508,560,0.379,0.539,0.566,19.4,4.3,6.7,4.4,19.3,1.28,0.35,1.35,8.4,116.0,112.9
556,Ricky Rubio,Cle,G,31.44,34,28.5,59.4,24.9,16.5,103,0.854,237,0.38,174,0.339,0.434,0.488,13.1,4.1,8.0,6.6,34.7,1.44,0.21,2.65,9.9,102.3,103.0
557,D'Angelo Russell,Min,G,26.1,62,31.9,66.4,25.1,13.1,223,0.821,437,0.487,496,0.339,0.498,0.54,18.0,3.4,5.6,7.0,33.1,0.92,0.35,2.5,9.5,111.8,110.9
